Shade,Dominant LAB,Corrected LAB
10.22,"51.12, 24.26, -1.57","64.76, 14.93, 5.74"
10.33,"71.43, 5.12, 23.98","85.04, -3.47, 32.06"
10.66,"56.04, 28.82, 10.26","69.94, 20.97, 17.04"
10.88,"41.38, 12.28, 1.61","55.30, 4.12, 8.32"
10.99,"47.33, 18.33, 11.01","61.42, 11.21, 17.38"
4.11,"17.74, 10.35, -14.63","31.88, 2.41, -8.80"
4.66,"13.55, 13.7, 0.15","28.32, 8.78, 4.51"
5.11,"12.91, 4.71, -5.52","27.43, -1.43, -0.50"
5.44,"15.77, 16.28, 3.85","30.61, 11.79, 8.05"
6.99,"12.96, 5.56, -0.24","27.65, 0.29, 4.40"
7.11,"20.2, 4.48, -4.89","34.50, -2.47, 0.72"
7.33,"23.48, 13.28, 11.61","38.29, 8.95, 16.07"
7.77,"17.89, 2.53, 2.21","32.47, -3.09, 7.22"
7.99,"15.41, 7.39, 0.68","30.07, 2.04, 5.40"
8.11,"27.11, 4.59, -0.87","41.32, -2.56, 5.06"
8.33,"41.05, 11.61, 18.13","55.50, 6.09, 23.74"
8.66,"29.94, 31.26, 6.46","44.57, 26.11, 11.15"
8.99,"24.01, 9.6, 1.11","38.44, 3.37, 6.46"
9.11,"40.32, 9.21, -7.49","53.96, -0.40, -0.15"
9.22,"29.06, 17.25, -2.79","43.28, 10.12, 2.97"
9.33,"59.19, 10.65, 18.34","73.06, 2.90, 25.53"
9.99,"42.57, 27.36, 20.54","57.20, 22.73, 25.53"
10.222,"46.93, 25.9, -0.02","60.76, 17.40, 6.77"
10.333,"63.75, 8.53, 35.26","77.99, 2.82, 41.80"
10.999,"28.78, 12.59, 8.55","43.32, 7.09, 13.70"
4.333,"13.42, 6.56, -0.02","28.11, 1.31, 4.60"
5.111,"13.53, 5.2, -6.48","28.00, -1.15, -1.37"
6.999,"13.25, 6.82, -0.97","27.92, 1.45, 3.69"
7.111,"14.79, 5.48, -7.65","29.19, -1.20, -2.36"
7.333,"21.21, 16.39, 11.54","36.12, 12.46, 15.70"
7.999,"14.69, 6.68, 0.8","29.37, 1.41, 5.47"
8.222,"21.91, 15.84, -4.13","36.30, 9.31, 1.15"
8.333,"38.76, 15.09, 18.24","53.32, 10.02, 23.51"
8.444,"24.19, 30.36, 21.02","39.45, 28.19, 24.28"
8.666,"23.87, 30.65, 8.59","38.75, 26.55, 12.64"
8.999,"15.86, 7.55, 1.44","30.53, 2.28, 6.14"
9.444,"34.91, 30.59, 25.62","49.98, 27.85, 29.49"
9.999,"28.23, 14.27, 5.68","42.71, 8.46, 10.91"
1.4,"12.07, 3.13, -3.6","26.66, -2.68, 1.27"
1.8,"13.93, 4.58, -4.87","28.43, -1.59, 0.20"
1.9,"11.13, 3.65, -4.39","25.73, -2.14, 0.44"
2.2,"12.33, 5.94, -5.09","26.89, -0.01, -0.20"
1.5,"8.4, 3.69, -3.46","23.11, -1.62, 1.07"
1.6,"12.71, 4.18, -4.1","27.27, -1.74, 0.82"
1.7,"8.52, 2.66, -3.54","23.22, -2.72, 1.04"
1.3,"12.44, 3.49, -3.77","27.01, -2.37, 1.13"
