color_profile,colour_name,colour_tones,dye_type,rgb_color_code,level,quart_level,tone1,tone2,tone3,AA01,AA02,AA03,AA04,AA05,AA06,AA07,AA08,shade,Preview,TextJoin,UUID
yuv,Black,Softest Blue,DP,649,1,0,0,0,1,75.25,0,0,0,0,24.75,0,0,1.001,,yuv|Black|Softest Blue|DP|649|1|0|0|0|1|75.25|0|0|0|0|24.75|0|0|1.001,6d51b5d3-6a9b-4c97-8d3d-ae98dda8c567
yuv,Black,Softest Violet,DP,656,1,0,0,0,2,71.95,0,0,0,14.02,14.02,0,0,1.002,,yuv|Black|Softest Violet|DP|656|1|0|0|0|2|71.95|0|0|0|14.02|14.02|0|0|1.002,9cfdd043-c48a-4977-b7ce-d12bb438d038
yuv,Black,Softest Gold,DP,651,1,0,0,0,3,80.2,0,0,0,1.98,0,17.82,0,1.003,,yuv|Black|Softest Gold|DP|651|1|0|0|0|3|80.2|0|0|0|1.98|0|17.82|0|1.003,863a81af-df94-4a67-9fd5-f34adaf69077
yuv,Black,Softest Copper,DP,650,1,0,0,0,4,83.5,0,0,0,2.75,0,13.75,0,1.004,,yuv|Black|Softest Copper|DP|650|1|0|0|0|4|83.5|0|0|0|2.75|0|13.75|0|1.004,a7836bfa-31ee-414b-a2a5-a27356e079b9
yuv,Black,Softest Mahogany,DP,652,1,0,0,0,5,83.5,0,0,0,8.25,4.12,4.12,0,1.005,,yuv|Black|Softest Mahogany|DP|652|1|0|0|0|5|83.5|0|0|0|8.25|4.12|4.12|0|1.005,642a8b8b-7f84-4dd5-b4af-276ef083dd14
yuv,Black,Softest Red,DP,655,1,0,0,0,6,90.1,0,0,0,9.9,0,0,0,1.006,,yuv|Black|Softest Red|DP|655|1|0|0|0|6|90.1|0|0|0|9.9|0|0|0|1.006,d997711f-5baa-465f-8b27-2b8b1fe8879d
yuv,Black,Softest Matte,DP,653,1,0,0,0,7,81.85,0,0,0,0,9.07,9.07,0,1.007,,yuv|Black|Softest Matte|DP|653|1|0|0|0|7|81.85|0|0|0|0|9.07|9.07|0|1.007,0aac643c-f2eb-4034-befc-d83a9803513a
yuv,Black,Softest Mocha,DP,654,1,0,0,0,8,76.9,0,0,0,5.78,11.55,5.78,0,1.008,,yuv|Black|Softest Mocha|DP|654|1|0|0|0|8|76.9|0|0|0|5.78|11.55|5.78|0|1.008,f4dd28af-01bc-4f27-8d27-c4548395998d
yuv,Black,Softest Chocolate,DP,900000,1,0,0,0,9,85.15,0,0,0,2.97,5.2,6.68,0,1.009,,yuv|Black|Softest Chocolate|DP|900000|1|0|0|0|9|85.15|0|0|0|2.97|5.2|6.68|0|1.009,132d848e-ef69-4583-a5fa-d8b72fcc0675
yuv,Black,Softer Blue Softest Blue,DP,577,1,0,0,1,1,54.62,0,0,0,0,45.38,0,0,1.011,,yuv|Black|Softer Blue Softest Blue|DP|577|1|0|0|1|1|54.62|0|0|0|0|45.38|0|0|1.011,b2ff7812-fe8c-44ae-aa46-373017c31bb2
yuv,Black,Softer Blue Softest Violet,DP,592,1,0,0,1,2,53.88,0,0,0,7.13,39,0,0,1.012,,yuv|Black|Softer Blue Softest Violet|DP|592|1|0|0|1|2|53.88|0|0|0|7.13|39|0|0|1.012,5d63fadb-343e-49f3-a85f-333f839409ff
yuv,Black,Softer Blue Softest Gold,DP,587,1,0,0,1,3,56.12,0,0,0,1.2,31.88,10.8,0,1.013,,yuv|Black|Softer Blue Softest Gold|DP|587|1|0|0|1|3|56.12|0|0|0|1.2|31.88|10.8|0|1.013,ba232573-e80b-4316-b22b-91a606ac6ebf
yuv,Black,Softer Blue Softest Copper,DP,586,1,0,0,1,4,59.12,0,0,0,1.5,31.88,7.5,0,1.014,,yuv|Black|Softer Blue Softest Copper|DP|586|1|0|0|1|4|59.12|0|0|0|1.5|31.88|7.5|0|1.014,b310b912-3b95-44d4-b153-f47aaf858b9e
yuv,Black,Softer Blue Softest Mahogany,DP,588,1,0,0,1,5,57.62,0,0,0,5.25,34.5,2.63,0,1.015,,yuv|Black|Softer Blue Softest Mahogany|DP|588|1|0|0|1|5|57.62|0|0|0|5.25|34.5|2.63|0|1.015,f91e02b6-65a4-45fa-a189-1b474d80d47f
yuv,Black,Softer Blue Softest Red,DP,591,1,0,0,1,6,60.62,0,0,0,7.5,31.88,0,0,1.016,,yuv|Black|Softer Blue Softest Red|DP|591|1|0|0|1|6|60.62|0|0|0|7.5|31.88|0|0|1.016,5860f92a-f5aa-4ada-8e74-8b80de51bfde
yuv,Black,Softer Blue Softest Matte,DP,589,1,0,0,1,7,56.12,0,0,0,0,37.88,6,0,1.017,,yuv|Black|Softer Blue Softest Matte|DP|589|1|0|0|1|7|56.12|0|0|0|0|37.88|6|0|1.017,622b55e9-de84-450a-b195-5a03422ff9c8
